,pic,lable,type,cursor_x,cursor_y,pos_x,xpos,pos_y,ypos,pic_width,pic_height,x,y
1404,10.png,全部完成,长条文字按钮,192,28,右,300,中,0,532,140,-108,28
1405,3.png,纯色块,方块,-2,-526,中,0,上,-533,86,86,-2,7
1406,6.png,完成,纯文字,-299,-552,左,-300,上,-533,64,31,1,-19
1407,2.png,纯色块,方块,286,521,右,300,下,533,48,48,-14,-12
1408,7.png,已完成,纯文字,-268,-13,左,-300,中,0,95,31,32,-13
1409,9.png,全部完成,长条文字按钮,5,0,中,0,中,0,352,140,5,0
1410,6.png,完成,纯文字,310,-14,右,300,中,0,64,31,10,-14
1411,1.png,纯色块,方块,-267,517,左,-300,下,533,30,30,33,-16
1412,7.png,已完成,纯文字,-17,-476,中,0,上,-533,95,31,-17,57
1413,9.png,全部完成,长条文字按钮,-311,14,左,-300,中,0,352,140,-11,14
1414,3.png,纯色块,方块,170,-48,右,300,中,0,86,86,-130,-48
1415,1.png,纯色块,方块,-284,-551,左,-300,上,-533,30,30,16,-18
1416,1.png,纯色块,方块,-288,-15,左,-300,中,0,30,30,12,-15
1417,8.png,全部完成,长条文字按钮,281,-518,右,300,上,-533,282,140,-19,15
1418,5.png,全部完成,纯文字,-258,-526,左,-300,上,-533,130,31,42,7
1419,4.png,纯色块,方块,-26,537,中,0,下,533,120,120,-26,4
1420,5.png,全部完成,纯文字,-300,538,左,-300,下,533,130,31,0,5
1421,6.png,完成,纯文字,-247,-14,左,-300,中,0,64,31,53,-14
1422,3.png,纯色块,方块,310,-566,右,300,上,-533,86,86,10,-33
1423,10.png,全部完成,长条文字按钮,-92,-502,中,0,上,-533,532,140,-92,31
1424,7.png,已完成,纯文字,-21,29,中,0,中,0,95,31,-21,29
1425,5.png,全部完成,纯文字,-310,-536,左,-300,上,-533,130,31,-10,-3
1426,2.png,纯色块,方块,10,-30,中,0,中,0,48,48,10,-30
1427,4.png,纯色块,方块,-312,-535,左,-300,上,-533,120,120,-12,-2
1428,3.png,纯色块,方块,-299,523,左,-300,下,533,86,86,1,-10
1429,4.png,纯色块,方块,251,-508,右,300,上,-533,120,120,-49,25
1430,10.png,全部完成,长条文字按钮,-381,547,左,-300,下,533,532,140,-81,14
1431,8.png,全部完成,长条文字按钮,-290,-9,左,-300,中,0,282,140,10,-9
1432,4.png,纯色块,方块,270,518,右,300,下,533,120,120,-30,-15
1433,6.png,完成,纯文字,-316,-510,左,-300,上,-533,64,31,-16,23
1434,6.png,完成,纯文字,-290,-1,左,-300,中,0,64,31,10,-1
1435,7.png,已完成,纯文字,323,1,右,300,中,0,95,31,23,1
1436,5.png,全部完成,纯文字,101,535,中,0,下,533,130,31,101,2
1437,1.png,纯色块,方块,30,3,中,0,中,0,30,30,30,3
1438,4.png,纯色块,方块,-238,510,左,-300,下,533,120,120,62,-23
1439,6.png,完成,纯文字,343,3,右,300,中,0,64,31,43,3
1440,7.png,已完成,纯文字,-290,-510,左,-300,上,-533,95,31,10,23
1441,4.png,纯色块,方块,-348,526,左,-300,下,533,120,120,-48,-7
1442,4.png,纯色块,方块,259,535,右,300,下,533,120,120,-41,2
1443,2.png,纯色块,方块,46,514,中,0,下,533,48,48,46,-19
1444,9.png,全部完成,长条文字按钮,243,-518,右,300,上,-533,352,140,-57,15
1445,4.png,纯色块,方块,-11,10,中,0,中,0,120,120,-11,10
1446,6.png,完成,纯文字,15,527,中,0,下,533,64,31,15,-6
1447,10.png,全部完成,长条文字按钮,219,17,右,300,中,0,532,140,-81,17
1448,3.png,纯色块,方块,-255,4,左,-300,中,0,86,86,45,4
1449,8.png,全部完成,长条文字按钮,363,596,右,300,下,533,282,140,63,63
1450,7.png,已完成,纯文字,307,1,右,300,中,0,95,31,7,1
1451,2.png,纯色块,方块,345,537,右,300,下,533,48,48,45,4
1452,10.png,全部完成,长条文字按钮,-105,-507,中,0,上,-533,532,140,-105,26
1453,1.png,纯色块,方块,1,560,中,0,下,533,30,30,1,27
1454,10.png,全部完成,长条文字按钮,-365,-518,左,-300,上,-533,532,140,-65,15
1455,6.png,完成,纯文字,322,562,右,300,下,533,64,31,22,29
1456,3.png,纯色块,方块,-9,-529,中,0,上,-533,86,86,-9,4
1457,10.png,全部完成,长条文字按钮,-116,26,中,0,中,0,532,140,-116,26
1458,8.png,全部完成,长条文字按钮,243,0,右,300,中,0,282,140,-57,0
1459,1.png,纯色块,方块,-288,-571,左,-300,上,-533,30,30,12,-38
1460,4.png,纯色块,方块,-295,-530,左,-300,上,-533,120,120,5,3
1461,5.png,全部完成,纯文字,-287,-550,左,-300,上,-533,130,31,13,-17
1462,1.png,纯色块,方块,301,-539,右,300,上,-533,30,30,1,-6
1463,3.png,纯色块,方块,-252,-499,左,-300,上,-533,86,86,48,34
1464,5.png,全部完成,纯文字,29,535,中,0,下,533,130,31,29,2
1465,7.png,已完成,纯文字,242,533,右,300,下,533,95,31,-58,0
1466,9.png,全部完成,长条文字按钮,296,591,右,300,下,533,352,140,-4,58
1467,10.png,全部完成,长条文字按钮,-35,566,中,0,下,533,532,140,-35,33
1468,2.png,纯色块,方块,-326,532,左,-300,下,533,48,48,-26,-1
1469,10.png,全部完成,长条文字按钮,-400,531,左,-300,下,533,532,140,-100,-2
1470,1.png,纯色块,方块,-13,-525,中,0,上,-533,30,30,-13,8
1471,7.png,已完成,纯文字,19,23,中,0,中,0,95,31,19,23
1472,10.png,全部完成,长条文字按钮,-120,527,中,0,下,533,532,140,-120,-6
1473,5.png,全部完成,纯文字,268,549,右,300,下,533,130,31,-32,16
1474,9.png,全部完成,长条文字按钮,-23,572,中,0,下,533,352,140,-23,39
1475,2.png,纯色块,方块,-282,3,左,-300,中,0,48,48,18,3
1476,2.png,纯色块,方块,-344,-7,左,-300,中,0,48,48,-44,-7
1477,6.png,完成,纯文字,281,-595,右,300,上,-533,64,31,-19,-62
1478,7.png,已完成,纯文字,349,-488,右,300,上,-533,95,31,49,45
1479,5.png,全部完成,纯文字,-35,598,中,0,下,533,130,31,-35,65
1480,6.png,完成,纯文字,-274,-516,左,-300,上,-533,64,31,26,17
1481,8.png,全部完成,长条文字按钮,-65,-498,中,0,上,-533,282,140,-65,35
1482,6.png,完成,纯文字,-273,-4,左,-300,中,0,64,31,27,-4
1483,4.png,纯色块,方块,229,-522,右,300,上,-533,120,120,-71,11
1484,3.png,纯色块,方块,-253,-1,左,-300,中,0,86,86,47,-1
1485,1.png,纯色块,方块,-305,-509,左,-300,上,-533,30,30,-5,24
1486,10.png,全部完成,长条文字按钮,-304,4,左,-300,中,0,532,140,-4,4
1487,6.png,完成,纯文字,-307,-522,左,-300,上,-533,64,31,-7,11
1488,8.png,全部完成,长条文字按钮,240,-22,右,300,中,0,282,140,-60,-22
1489,1.png,纯色块,方块,22,4,中,0,中,0,30,30,22,4
1490,10.png,全部完成,长条文字按钮,239,503,右,300,下,533,532,140,-61,-30
1491,7.png,已完成,纯文字,-6,548,中,0,下,533,95,31,-6,15
1492,6.png,完成,纯文字,-27,-513,中,0,上,-533,64,31,-27,20
1493,6.png,完成,纯文字,287,-22,右,300,中,0,64,31,-13,-22
1494,10.png,全部完成,长条文字按钮,243,-496,右,300,上,-533,532,140,-57,37
1495,2.png,纯色块,方块,33,8,中,0,中,0,48,48,33,8
1496,3.png,纯色块,方块,-268,554,左,-300,下,533,86,86,32,21
1497,3.png,纯色块,方块,0,543,中,0,下,533,86,86,0,10
1498,4.png,纯色块,方块,-322,37,左,-300,中,0,120,120,-22,37
1499,5.png,全部完成,纯文字,320,-521,右,300,上,-533,130,31,20,12
1500,7.png,已完成,纯文字,-252,527,左,-300,下,533,95,31,48,-6
1501,9.png,全部完成,长条文字按钮,-293,63,左,-300,中,0,352,140,7,63
1502,10.png,全部完成,长条文字按钮,-312,541,左,-300,下,533,532,140,-12,8
1503,3.png,纯色块,方块,324,577,右,300,下,533,86,86,24,44
1504,6.png,完成,纯文字,3,560,中,0,下,533,64,31,3,27
1505,7.png,已完成,纯文字,11,-511,中,0,上,-533,95,31,11,22
1506,6.png,完成,纯文字,310,-520,右,300,上,-533,64,31,10,13
1507,5.png,全部完成,纯文字,292,562,右,300,下,533,130,31,-8,29
1508,8.png,全部完成,长条文字按钮,22,10,中,0,中,0,282,140,22,10
1509,2.png,纯色块,方块,16,0,中,0,中,0,48,48,16,0
1510,6.png,完成,纯文字,-289,522,左,-300,下,533,64,31,11,-11
1511,2.png,纯色块,方块,33,552,中,0,下,533,48,48,33,19
1512,6.png,完成,纯文字,56,90,中,0,中,0,64,31,56,90
1513,5.png,全部完成,纯文字,-33,10,中,0,中,0,130,31,-33,10
1514,3.png,纯色块,方块,34,-530,中,0,上,-533,86,86,34,3
1515,10.png,全部完成,长条文字按钮,-54,-510,中,0,上,-533,532,140,-54,23
1516,5.png,全部完成,纯文字,-271,-515,左,-300,上,-533,130,31,29,18
1517,1.png,纯色块,方块,366,532,右,300,下,533,30,30,66,-1
1518,7.png,已完成,纯文字,-276,8,左,-300,中,0,95,31,24,8
1519,1.png,纯色块,方块,-362,621,左,-300,下,533,30,30,-62,88
1520,1.png,纯色块,方块,310,-527,右,300,上,-533,30,30,10,6
1521,7.png,已完成,纯文字,267,555,右,300,下,533,95,31,-33,22
1522,4.png,纯色块,方块,44,-453,中,0,上,-533,120,120,44,80
1523,4.png,纯色块,方块,287,-1,右,300,中,0,120,120,-13,-1
1524,10.png,全部完成,长条文字按钮,-272,-501,左,-300,上,-533,532,140,28,32
1525,1.png,纯色块,方块,-292,535,左,-300,下,533,30,30,8,2
1526,5.png,全部完成,纯文字,301,-515,右,300,上,-533,130,31,1,18
1527,1.png,纯色块,方块,27,7,中,0,中,0,30,30,27,7
1528,4.png,纯色块,方块,-2,546,中,0,下,533,120,120,-2,13
1529,2.png,纯色块,方块,-265,-540,左,-300,上,-533,48,48,35,-7
1530,5.png,全部完成,纯文字,-334,-6,左,-300,中,0,130,31,-34,-6
1531,4.png,纯色块,方块,-10,-495,中,0,上,-533,120,120,-10,38
1532,8.png,全部完成,长条文字按钮,-53,-40,中,0,中,0,282,140,-53,-40
1533,9.png,全部完成,长条文字按钮,-266,0,左,-300,中,0,352,140,34,0
1535,4.png,纯色块,方块,298,525,右,300,下,533,120,120,-2,-8
1536,2.png,纯色块,方块,279,548,右,300,下,533,48,48,-21,15
1537,9.png,全部完成,长条文字按钮,266,502,右,300,下,533,352,140,-34,-31
1538,6.png,完成,纯文字,-276,37,左,-300,中,0,64,31,24,37
1539,8.png,全部完成,长条文字按钮,-284,541,左,-300,下,533,282,140,16,8
1540,9.png,全部完成,长条文字按钮,204,49,右,300,中,0,352,140,-96,49
1541,1.png,纯色块,方块,60,557,中,0,下,533,30,30,60,24
1542,6.png,完成,纯文字,272,540,右,300,下,533,64,31,-28,7
1543,7.png,已完成,纯文字,25,518,中,0,下,533,95,31,25,-15
1544,1.png,纯色块,方块,303,17,右,300,中,0,30,30,3,17
1545,5.png,全部完成,纯文字,-27,-483,中,0,上,-533,130,31,-27,50
1546,7.png,已完成,纯文字,-41,-49,中,0,中,0,95,31,-41,-49
1547,8.png,全部完成,长条文字按钮,-211,511,左,-300,下,533,282,140,89,-22
1548,9.png,全部完成,长条文字按钮,-56,-13,中,0,中,0,352,140,-56,-13
1549,8.png,全部完成,长条文字按钮,-4,-496,中,0,上,-533,282,140,-4,37
1550,1.png,纯色块,方块,-278,-25,左,-300,中,0,30,30,22,-25
1551,3.png,纯色块,方块,342,5,右,300,中,0,86,86,42,5
1552,7.png,已完成,纯文字,-255,536,左,-300,下,533,95,31,45,3
1553,5.png,全部完成,纯文字,327,30,右,300,中,0,130,31,27,30
1554,9.png,全部完成,长条文字按钮,284,-514,右,300,上,-533,352,140,-16,19
1555,3.png,纯色块,方块,-1,-4,中,0,中,0,86,86,-1,-4
1556,7.png,已完成,纯文字,-263,34,左,-300,中,0,95,31,37,34
1557,1.png,纯色块,方块,315,5,右,300,中,0,30,30,15,5
1558,10.png,全部完成,长条文字按钮,264,-5,右,300,中,0,532,140,-36,-5
1559,3.png,纯色块,方块,27,21,中,0,中,0,86,86,27,21
1560,4.png,纯色块,方块,307,36,右,300,中,0,120,120,7,36
1561,3.png,纯色块,方块,305,13,右,300,中,0,86,86,5,13
1562,7.png,已完成,纯文字,259,15,右,300,中,0,95,31,-41,15
1563,2.png,纯色块,方块,255,-511,右,300,上,-533,48,48,-45,22
1564,9.png,全部完成,长条文字按钮,-248,-496,左,-300,上,-533,352,140,52,37
1565,3.png,纯色块,方块,376,-501,右,300,上,-533,86,86,76,32
1566,7.png,已完成,纯文字,-28,-517,中,0,上,-533,95,31,-28,16
1567,5.png,全部完成,纯文字,-358,601,左,-300,下,533,130,31,-58,68
1568,8.png,全部完成,长条文字按钮,219,590,右,300,下,533,282,140,-81,57
1569,3.png,纯色块,方块,-231,533,左,-300,下,533,86,86,69,0
1570,4.png,纯色块,方块,-289,-516,左,-300,上,-533,120,120,11,17
1571,2.png,纯色块,方块,-51,-530,中,0,上,-533,48,48,-51,3
1572,8.png,全部完成,长条文字按钮,-266,-525,左,-300,上,-533,282,140,34,8
1573,10.png,全部完成,长条文字按钮,-251,73,左,-300,中,0,532,140,49,73
1574,2.png,纯色块,方块,-278,-485,左,-300,上,-533,48,48,22,48
1575,9.png,全部完成,长条文字按钮,15,-453,中,0,上,-533,352,140,15,80
1576,3.png,纯色块,方块,286,-452,右,300,上,-533,86,86,-14,81
1577,3.png,纯色块,方块,57,566,中,0,下,533,86,86,57,33
1578,1.png,纯色块,方块,-42,-559,中,0,上,-533,30,30,-42,-26
1579,8.png,全部完成,长条文字按钮,292,-470,右,300,上,-533,282,140,-8,63
1580,8.png,全部完成,长条文字按钮,-257,20,左,-300,中,0,282,140,43,20
1581,3.png,纯色块,方块,278,545,右,300,下,533,86,86,-22,12
1582,9.png,全部完成,长条文字按钮,8,565,中,0,下,533,352,140,8,32
1583,8.png,全部完成,长条文字按钮,-28,564,中,0,下,533,282,140,-28,31
1584,8.png,全部完成,长条文字按钮,230,-507,右,300,上,-533,282,140,-70,26
1585,2.png,纯色块,方块,276,-25,右,300,中,0,48,48,-24,-25
1586,4.png,纯色块,方块,-261,548,左,-300,下,533,120,120,39,15
1587,8.png,全部完成,长条文字按钮,-289,-524,左,-300,上,-533,282,140,11,9
1588,2.png,纯色块,方块,28,583,中,0,下,533,48,48,28,50
1589,4.png,纯色块,方块,261,-539,右,300,上,-533,120,120,-39,-6
1590,9.png,全部完成,长条文字按钮,-23,-28,中,0,中,0,352,140,-23,-28
1591,2.png,纯色块,方块,-266,545,左,-300,下,533,48,48,34,12
1592,5.png,全部完成,纯文字,-267,47,左,-300,中,0,130,31,33,47
1593,9.png,全部完成,长条文字按钮,300,22,右,300,中,0,352,140,0,22
1594,4.png,纯色块,方块,-340,510,左,-300,下,533,120,120,-40,-23
1595,5.png,全部完成,纯文字,-11,-491,中,0,上,-533,130,31,-11,42
1596,4.png,纯色块,方块,240,538,右,300,下,533,120,120,-60,5
1597,9.png,全部完成,长条文字按钮,-244,534,左,-300,下,533,352,140,56,1
1598,7.png,已完成,纯文字,-278,-503,左,-300,上,-533,95,31,22,30
1599,9.png,全部完成,长条文字按钮,202,-550,右,300,上,-533,352,140,-98,-17
1600,5.png,全部完成,纯文字,10,15,中,0,中,0,130,31,10,15
1601,1.png,纯色块,方块,284,568,右,300,下,533,30,30,-16,35
1602,9.png,全部完成,长条文字按钮,-364,526,左,-300,下,533,352,140,-64,-7
1603,10.png,全部完成,长条文字按钮,128,543,右,300,下,533,532,140,-172,10
1604,9.png,全部完成,长条文字按钮,-351,-547,左,-300,上,-533,352,140,-51,-14
1605,2.png,纯色块,方块,325,-562,右,300,上,-533,48,48,25,-29
1606,4.png,纯色块,方块,42,549,中,0,下,533,120,120,42,16
1607,9.png,全部完成,长条文字按钮,-28,-535,中,0,上,-533,352,140,-28,-2
1608,6.png,完成,纯文字,-14,4,中,0,中,0,64,31,-14,4
1609,6.png,完成,纯文字,289,16,右,300,中,0,64,31,-11,16
1610,6.png,完成,纯文字,5,-534,中,0,上,-533,64,31,5,-1
1611,2.png,纯色块,方块,26,-520,中,0,上,-533,48,48,26,13
1612,5.png,全部完成,纯文字,-288,576,左,-300,下,533,130,31,12,43
1613,3.png,纯色块,方块,-264,-525,左,-300,上,-533,86,86,36,8
1614,10.png,全部完成,长条文字按钮,-15,-6,中,0,中,0,532,140,-15,-6
1615,5.png,全部完成,纯文字,292,4,右,300,中,0,130,31,-8,4
1616,8.png,全部完成,长条文字按钮,-252,-6,左,-300,中,0,282,140,48,-6
1617,7.png,已完成,纯文字,-269,-500,左,-300,上,-533,95,31,31,33
1618,1.png,纯色块,方块,-291,-10,左,-300,中,0,30,30,9,-10
1619,2.png,纯色块,方块,310,7,右,300,中,0,48,48,10,7
1620,10.png,全部完成,长条文字按钮,228,-502,右,300,上,-533,532,140,-72,31
1621,7.png,已完成,纯文字,332,-479,右,300,上,-533,95,31,32,54
1622,4.png,纯色块,方块,-256,20,左,-300,中,0,120,120,44,20
1623,4.png,纯色块,方块,-13,48,中,0,中,0,120,120,-13,48
1625,6.png,完成,纯文字,-221,551,左,-300,下,533,64,31,79,18
1626,8.png,全部完成,长条文字按钮,-2,539,中,0,下,533,282,140,-2,6
1627,3.png,纯色块,方块,38,5,中,0,中,0,86,86,38,5
1628,3.png,纯色块,方块,330,28,右,300,中,0,86,86,30,28
1629,10.png,全部完成,长条文字按钮,303,540,右,300,下,533,532,140,3,7
1630,7.png,已完成,纯文字,-17,11,中,0,中,0,95,31,-17,11
1631,8.png,全部完成,长条文字按钮,-8,-8,中,0,中,0,282,140,-8,-8
1632,6.png,完成,纯文字,-298,-18,左,-300,中,0,64,31,2,-18
1633,8.png,全部完成,长条文字按钮,-16,-530,中,0,上,-533,282,140,-16,3
1634,8.png,全部完成,长条文字按钮,290,-552,右,300,上,-533,282,140,-10,-19
1635,2.png,纯色块,方块,332,515,右,300,下,533,48,48,32,-18
1636,9.png,全部完成,长条文字按钮,57,-539,中,0,上,-533,352,140,57,-6
1637,1.png,纯色块,方块,-17,550,中,0,下,533,30,30,-17,17
1638,4.png,纯色块,方块,353,25,右,300,中,0,120,120,53,25
1639,6.png,完成,纯文字,320,8,右,300,中,0,64,31,20,8
1640,1.png,纯色块,方块,318,-551,右,300,上,-533,30,30,18,-18
1641,3.png,纯色块,方块,298,582,右,300,下,533,86,86,-2,49
1642,8.png,全部完成,长条文字按钮,297,551,右,300,下,533,282,140,-3,18
1643,10.png,全部完成,长条文字按钮,23,-26,中,0,中,0,532,140,23,-26
1644,4.png,纯色块,方块,-328,583,左,-300,下,533,120,120,-28,50
1645,7.png,已完成,纯文字,305,-4,右,300,中,0,95,31,5,-4
1647,4.png,纯色块,方块,-30,521,中,0,下,533,120,120,-30,-12
1648,3.png,纯色块,方块,259,-519,右,300,上,-533,86,86,-41,14
1649,8.png,全部完成,长条文字按钮,-320,-518,左,-300,上,-533,282,140,-20,15
1650,3.png,纯色块,方块,15,-498,中,0,上,-533,86,86,15,35
1651,4.png,纯色块,方块,305,-522,右,300,上,-533,120,120,5,11
1652,1.png,纯色块,方块,-321,-9,左,-300,中,0,30,30,-21,-9
1654,8.png,全部完成,长条文字按钮,-246,-14,左,-300,中,0,282,140,54,-14
1655,6.png,完成,纯文字,-7,-528,中,0,上,-533,64,31,-7,5
1656,1.png,纯色块,方块,316,16,右,300,中,0,30,30,16,16
1657,3.png,纯色块,方块,-289,-541,左,-300,上,-533,86,86,11,-8
1658,4.png,纯色块,方块,28,0,中,0,中,0,120,120,28,0
1659,5.png,全部完成,纯文字,-229,489,左,-300,下,533,130,31,71,-44
1660,5.png,全部完成,纯文字,39,-587,中,0,上,-533,130,31,39,-54
1661,5.png,全部完成,纯文字,347,517,右,300,下,533,130,31,47,-16
1662,3.png,纯色块,方块,-291,568,左,-300,下,533,86,86,9,35
1663,6.png,完成,纯文字,-270,2,左,-300,中,0,64,31,30,2
1664,7.png,已完成,纯文字,292,-517,右,300,上,-533,95,31,-8,16
1665,5.png,全部完成,纯文字,-30,23,中,0,中,0,130,31,-30,23
1666,9.png,全部完成,长条文字按钮,284,-541,右,300,上,-533,352,140,-16,-8
1667,9.png,全部完成,长条文字按钮,359,555,右,300,下,533,352,140,59,22
1668,4.png,纯色块,方块,20,-18,中,0,中,0,120,120,20,-18
1669,6.png,完成,纯文字,-20,-28,中,0,中,0,64,31,-20,-28
1670,4.png,纯色块,方块,-277,488,左,-300,下,533,120,120,23,-45
1671,9.png,全部完成,长条文字按钮,33,519,中,0,下,533,352,140,33,-14
1672,10.png,全部完成,长条文字按钮,-224,533,左,-300,下,533,532,140,76,0
1673,3.png,纯色块,方块,21,-529,中,0,上,-533,86,86,21,4
1674,1.png,纯色块,方块,-296,-543,左,-300,上,-533,30,30,4,-10
1675,6.png,完成,纯文字,-13,530,中,0,下,533,64,31,-13,-3
1676,5.png,全部完成,纯文字,17,-549,中,0,上,-533,130,31,17,-16
1677,7.png,已完成,纯文字,280,526,右,300,下,533,95,31,-20,-7
1678,8.png,全部完成,长条文字按钮,332,518,右,300,下,533,282,140,32,-15
1679,9.png,全部完成,长条文字按钮,-260,22,左,-300,中,0,352,140,40,22
1680,2.png,纯色块,方块,-288,6,左,-300,中,0,48,48,12,6
1681,5.png,全部完成,纯文字,15,11,中,0,中,0,130,31,15,11
1682,2.png,纯色块,方块,-276,520,左,-300,下,533,48,48,24,-13
1683,10.png,全部完成,长条文字按钮,64,7,中,0,中,0,532,140,64,7
1684,6.png,完成,纯文字,17,-538,中,0,上,-533,64,31,17,-5
1685,3.png,纯色块,方块,-288,-564,左,-300,上,-533,86,86,12,-31
1686,2.png,纯色块,方块,-9,511,中,0,下,533,48,48,-9,-22
1687,9.png,全部完成,长条文字按钮,-198,474,左,-300,下,533,352,140,102,-59
1688,5.png,全部完成,纯文字,-231,519,左,-300,下,533,130,31,69,-14
1689,2.png,纯色块,方块,230,-546,右,300,上,-533,48,48,-70,-13
1690,10.png,全部完成,长条文字按钮,62,-508,中,0,上,-533,532,140,62,25
1691,6.png,完成,纯文字,321,2,右,300,中,0,64,31,21,2
1692,2.png,纯色块,方块,18,500,中,0,下,533,48,48,18,-33
1693,9.png,全部完成,长条文字按钮,-258,-564,左,-300,上,-533,352,140,42,-31
1694,5.png,全部完成,纯文字,-290,-40,左,-300,中,0,130,31,10,-40
1695,5.png,全部完成,纯文字,296,37,右,300,中,0,130,31,-4,37
1696,2.png,纯色块,方块,-222,-566,左,-300,上,-533,48,48,78,-33
1697,9.png,全部完成,长条文字按钮,36,9,中,0,中,0,352,140,36,9
1698,8.png,全部完成,长条文字按钮,14,-10,中,0,中,0,282,140,14,-10
1699,10.png,全部完成,长条文字按钮,-200,-41,左,-300,中,0,532,140,100,-41
1700,1.png,纯色块,方块,58,550,中,0,下,533,30,30,58,17
1701,10.png,全部完成,长条文字按钮,239,-29,右,300,中,0,532,140,-61,-29
1702,10.png,全部完成,长条文字按钮,271,-575,右,300,上,-533,532,140,-29,-42
1703,2.png,纯色块,方块,377,8,右,300,中,0,48,48,77,8
1704,1.png,纯色块,方块,-263,-497,左,-300,上,-533,30,30,37,36
1705,2.png,纯色块,方块,17,-3,中,0,中,0,48,48,17,-3
1706,6.png,完成,纯文字,29,524,中,0,下,533,64,31,29,-9
1707,9.png,全部完成,长条文字按钮,3,508,中,0,下,533,352,140,3,-25
1708,7.png,已完成,纯文字,46,-558,中,0,上,-533,95,31,46,-25
1709,4.png,纯色块,方块,-291,27,左,-300,中,0,120,120,9,27
1710,1.png,纯色块,方块,301,-19,右,300,中,0,30,30,1,-19
1711,2.png,纯色块,方块,350,-479,右,300,上,-533,48,48,50,54
1712,8.png,全部完成,长条文字按钮,-316,-10,左,-300,中,0,282,140,-16,-10
1713,6.png,完成,纯文字,302,-544,右,300,上,-533,64,31,2,-11
1714,3.png,纯色块,方块,-273,-17,左,-300,中,0,86,86,27,-17
1715,3.png,纯色块,方块,-339,-18,左,-300,中,0,86,86,-39,-18
1716,7.png,已完成,纯文字,-300,579,左,-300,下,533,95,31,0,46
1717,7.png,已完成,纯文字,-314,-32,左,-300,中,0,95,31,-14,-32
1718,5.png,全部完成,纯文字,-292,-22,左,-300,中,0,130,31,8,-22
1719,10.png,全部完成,长条文字按钮,-21,-504,中,0,上,-533,532,140,-21,29
1720,4.png,纯色块,方块,5,-509,中,0,上,-533,120,120,5,24
1721,10.png,全部完成,长条文字按钮,237,-14,右,300,中,0,532,140,-63,-14
1722,7.png,已完成,纯文字,1,492,中,0,下,533,95,31,1,-41
1723,7.png,已完成,纯文字,244,-24,右,300,中,0,95,31,-56,-24
1724,7.png,已完成,纯文字,-315,524,左,-300,下,533,95,31,-15,-9
1725,6.png,完成,纯文字,-10,-15,中,0,中,0,64,31,-10,-15
1726,7.png,已完成,纯文字,293,-539,右,300,上,-533,95,31,-7,-6
1727,5.png,全部完成,纯文字,-26,579,中,0,下,533,130,31,-26,46
1728,10.png,全部完成,长条文字按钮,-19,538,中,0,下,533,532,140,-19,5
1729,4.png,纯色块,方块,283,488,右,300,下,533,120,120,-17,-45
1730,9.png,全部完成,长条文字按钮,345,523,右,300,下,533,352,140,45,-10
1731,3.png,纯色块,方块,310,-557,右,300,上,-533,86,86,10,-24
1732,10.png,全部完成,长条文字按钮,389,490,右,300,下,533,532,140,89,-43
1733,7.png,已完成,纯文字,-261,-547,左,-300,上,-533,95,31,39,-14
1734,1.png,纯色块,方块,-305,505,左,-300,下,533,30,30,-5,-28
1735,6.png,完成,纯文字,-239,515,左,-300,下,533,64,31,61,-18
1736,2.png,纯色块,方块,37,-504,中,0,上,-533,48,48,37,29
1737,2.png,纯色块,方块,-14,27,中,0,中,0,48,48,-14,27
1738,8.png,全部完成,长条文字按钮,308,2,右,300,中,0,282,140,8,2
1739,5.png,全部完成,纯文字,292,-547,右,300,上,-533,130,31,-8,-14
1740,7.png,已完成,纯文字,89,518,中,0,下,533,95,31,89,-15
1741,4.png,纯色块,方块,-18,475,中,0,下,533,120,120,-18,-58
1742,1.png,纯色块,方块,-269,3,左,-300,中,0,30,30,31,3
1743,1.png,纯色块,方块,-18,-541,中,0,上,-533,30,30,-18,-8
1744,9.png,全部完成,长条文字按钮,276,6,右,300,中,0,352,140,-24,6
1745,9.png,全部完成,长条文字按钮,-328,452,左,-300,下,533,352,140,-28,-81
1746,5.png,全部完成,纯文字,69,480,中,0,下,533,130,31,69,-53
1747,4.png,纯色块,方块,-265,-581,左,-300,上,-533,120,120,35,-48
1748,9.png,全部完成,长条文字按钮,295,-547,右,300,上,-533,352,140,-5,-14
1749,5.png,全部完成,纯文字,389,562,右,300,下,533,130,31,89,29
1750,1.png,纯色块,方块,-317,441,左,-300,下,533,30,30,-17,-92
1751,3.png,纯色块,方块,324,566,右,300,下,533,86,86,24,33
1752,5.png,全部完成,纯文字,-173,-542,左,-300,上,-533,130,31,127,-9
1753,1.png,纯色块,方块,-36,-24,中,0,中,0,30,30,-36,-24
1754,1.png,纯色块,方块,343,-520,右,300,上,-533,30,30,43,13
1755,4.png,纯色块,方块,30,-554,中,0,上,-533,120,120,30,-21
1756,3.png,纯色块,方块,90,540,中,0,下,533,86,86,90,7
1757,9.png,全部完成,长条文字按钮,87,-8,中,0,中,0,352,140,87,-8
1758,5.png,全部完成,纯文字,303,-29,右,300,中,0,130,31,3,-29
1759,9.png,全部完成,长条文字按钮,-303,-540,左,-300,上,-533,352,140,-3,-7
1760,8.png,全部完成,长条文字按钮,308,-502,右,300,上,-533,282,140,8,31
1761,3.png,纯色块,方块,21,489,中,0,下,533,86,86,21,-44
1762,2.png,纯色块,方块,87,-543,中,0,上,-533,48,48,87,-10
